id_pedido,data_compra,regiao_destino,categoria,valor_venda,custo_produto,custo_frete,peso_kg,data_previsao_entrega,data_entrega_real,status_pedido,receita_liquida,lucro_bruto,margem_lucro_pct,custo_frete_por_kg,dias_prazo_prometido,dias_transito_real,cumpriram_sla,status_sla_detalhado
PED-10001,2026-04-13,Norte,Ferramentas,682.85,432.86,77.62,30.04,2026-04-24,2026-04-26,Entregue,249.99,172.37,25.24,2.58,11,13.0,0,Entregue com Atraso
PED-10002,2026-04-10,Sul,Ferramentas,3396.19,2206.62,59.14,11.01,2026-04-23,,Cancelado,1189.5700000000002,1130.43,33.29,5.37,13,,0,Cancelado
PED-10003,2026-03-30,Nordeste,Vestuário,2160.89,954.79,67.37,14.96,2026-04-03,,Em Transito,1206.1,1138.73,52.7,4.5,4,,0,Em Trânsito
PED-10004,2026-05-11,Centro-Oeste,Vestuário,2397.06,1282.79,21.41,1.16,2026-05-21,,Em Transito,1114.27,1092.86,45.59,18.46,10,,0,Em Trânsito
PED-10005,2026-03-31,Centro-Oeste,Móveis,2410.6,1282.55,38.14,6.54,2026-04-14,2026-04-12,Entregue,1128.05,1089.9099999999999,45.21,5.83,14,12.0,1,Entregue no Prazo
PED-10006,2026-01-02,Sudeste,Alimentos,687.75,475.15,156.46,38.87,2026-01-05,2026-01-05,Entregue,212.60000000000002,56.140000000000015,8.16,4.03,3,3.0,1,Entregue no Prazo
PED-10007,2026-07-19,Norte,Eletrônicos,3366.04,2199.24,108.69,37.49,2026-07-25,2026-07-31,Entregue,1166.8000000000002,1058.1100000000001,31.43,2.9,6,12.0,0,Entregue com Atraso
PED-10008,2026-02-10,Centro-Oeste,Ferramentas,307.2,213.83,164.8,38.73,2026-02-23,2026-02-23,Entregue,93.36999999999998,-71.43000000000004,-23.25,4.26,13,13.0,1,Entregue no Prazo
PED-10009,2026-02-02,Sul,Ferramentas,3245.74,1932.26,125.41,45.79,2026-02-12,,Em Transito,1313.4799999999998,1188.0699999999997,36.6,2.74,10,,0,Em Trânsito
PED-10010,2026-05-31,Centro-Oeste,Vestuário,2089.98,1008.24,151.84,28.28,2026-06-04,,Cancelado,1081.74,929.9,44.49,5.37,4,,0,Cancelado
PED-10011,2026-01-05,Sudeste,Vestuário,1853.43,979.1,26.42,1.76,2026-01-19,2026-01-21,Entregue,874.33,847.9100000000001,45.75,15.01,14,16.0,0,Entregue com Atraso
PED-10012,2026-05-12,Centro-Oeste,Ferramentas,1912.45,881.48,122.16,47.17,2026-05-20,2026-05-20,Entregue,1030.97,908.8100000000001,47.52,2.59,8,8.0,1,Entregue no Prazo
PED-10013,2026-02-14,Nordeste,Ferramentas,3056.54,1959.55,57.15,9.74,2026-02-26,2026-02-28,Entregue,1096.99,1039.84,34.02,5.87,12,14.0,0,Entregue com Atraso
PED-10014,2026-05-09,Nordeste,Vestuário,1523.52,983.29,151.22,43.11,2026-05-17,2026-05-23,Entregue,540.23,389.01,25.53,3.51,8,14.0,0,Entregue com Atraso
PED-10015,2026-06-21,Sul,Eletrônicos,1443.23,605.39,47.1,13.07,2026-07-04,2026-07-04,Entregue,837.84,790.74,54.79,3.6,13,13.0,1,Entregue no Prazo
PED-10016,2026-03-22,Sul,Eletrônicos,3419.32,1789.37,28.2,2.14,2026-03-24,2026-03-24,Entregue,1629.9500000000003,1601.7500000000002,46.84,13.18,2,2.0,1,Entregue no Prazo
PED-10017,2026-06-09,Norte,Vestuário,1325.31,626.41,197.14,40.26,2026-06-15,,Em Transito,698.9,501.76,37.86,4.9,6,,0,Em Trânsito
PED-10018,2026-05-24,Nordeste,Eletrônicos,1156.69,527.4,19.23,2.52,2026-05-29,,Em Transito,629.2900000000001,610.0600000000001,52.74,7.63,5,,0,Em Trânsito
PED-10019,2026-07-14,Sul,Alimentos,2275.85,1029.39,83.19,34.7,2026-07-22,2026-07-26,Entregue,1246.4599999999998,1163.2699999999998,51.11,2.4,8,12.0,0,Entregue com Atraso
